P:8e5a5113:d0.212:c21:x0:p1.00	A0[A22[C0]]
P:8efcae92:d0.413:c81:x0:p1.00	A0[A7[]]
P:90c28cc7:d0.211:c4:x0:p1.00	A0[A12[C2,C2,C2]]
P:91413438:d0.283:c219:x0:p1.00	A0[A4[C6]]
P:941d9a10:d0.027:c22:x14:p0.61	A0[A1[C2]]
P:94f9d214:d0.422:c27:x0:p1.00	A0[A12[C4,C4,C2]]
P:952a094c:d0.007:c2:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:97a05b5b:d0.758:c226:x0:p1.00	A0[A7[]]
P:9aec4887:d0.536:c52:x0:p1.00	A0[A6[],A6[],A12[C6,C6,C0]]
P:9af7a82c:d0.091:c7:x0:p1.00	A0[A6[],A6[],A12[C4,C5,C0]]
P:9d9215db:d0.036:c39:x0:p1.00	A0[A21[C5]]
P:9edfc990:d0.197:c164:x36:p0.82	A0[A35[C1]]
P:a3325580:d0.054:c3:x0:p1.00	A0[A6[],A6[],A12[C1,C3,C0]]
P:a61ba2ce:d0.344:c11:x0:p1.00	A0[A12[C4,C4,C2]]
P:a68b268e:d0.271:c26:x0:p1.00	A0[A6[],A6[],A12[C4,C4,C0]]
P:a85d4709:d0.194:c7:x0:p1.00	A0[A33[C0,C0,C4,C0,C3,C3,C3,C0,C0,C0,C0]]
P:a8c38be5:d0.228:c37:x0:p1.00	A0[A6[],A6[],A12[C9,C9,C0]]
P:ac0a08a4:d0.237:c81:x0:p1.00	A0[A4[C3]]
P:ae3edfdc:d0.015:c10:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:ae4f1146:d0.528:c19:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C0]]
P:b0c4d837:d0.704:c38:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
P:b190f7f5:d0.167:c70:x0:p1.00	A0[A6[],A6[],A12[C9,C9,C2]]
P:b548a754:d0.101:c40:x0:p1.00	A0[A18[]]
P:b91ae062:d0.429:c162:x0:p1.00	A0[A4[C3]]
P:b94a9452:d0.080:c4:x0:p1.00	A0[A12[C4,C4,C2]]
P:b9b7f026:d0.333:c1:x0:p1.00	A0[A6[],A6[],A12[C1,C1,C0]]
P:bbc9ae5d:d0.331:c45:x0:p1.00	A0[A6[],A6[],A12[C6,C3,C2]]
P:bc1d5164:d0.622:c28:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C2]]
P:bd4472b8:d0.118:c9:x0:p1.00	A0[A22[C0]]
P:bda2d7a6:d0.235:c32:x0:p1.00	A0[A22[C0]]
P:beb8660c:d0.028:c3:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:c3e719e8:d0.481:c117:x0:p1.00	A0[A9[],A27[C0]]
P:c8cbb738:d0.458:c27:x0:p1.00	A0[A6[],A6[],A12[C5,C5,C0]]
P:c9f8e694:d0.035:c16:x6:p0.73	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:caa06a1f:d0.335:c74:x0:p1.00	A0[A9[],A44[]]
P:cce03e0d:d0.802:c195:x0:p1.00	A0[A9[],A27[C0]]
P:cdecee7f:d0.222:c6:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C2]]
P:ce602527:d0.200:c14:x0:p1.00	A0[A21[C3]]
P:cf98881b:d0.375:c30:x0:p1.00	A0[A45[],A6[],A12[C4,C4,C0]]
P:d0f5fe59:d0.345:c10:x0:p1.00	A0[A45[],A6[],A12[C4,C4,C0]]
P:d13f3404:d0.500:c54:x0:p1.00	A0[A6[],A6[],A12[C6,C6,C0]]
P:d23f8c26:d0.085:c5:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:d2abd087:d0.143:c43:x0:p1.00	A0[A14[C0,C5,C6,C4,C3,C1,C2,C7,C9,C8]]
P:d4469b4b:d0.365:c23:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
P:d631b094:d0.400:c4:x0:p1.00	A0[A6[],A6[],A12[C4,C1,C0]]
P:d89b689b:d0.007:c2:x0:p1.00	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:ddf7fa4f:d0.077:c26:x3:p0.90	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:e179c5f4:d0.300:c27:x0:p1.00	A0[A22[C0]]
P:e26a3af2:d0.033:c20:x0:p1.00	A0[A33[C0,C0,C1,C0,C7,C7,C7,C0,C0,C0,C0]]
P:e48d4e1a:d0.092:c93:x56:p0.62	A0[A41[]]
P:e509e548:d0.030:c20:x0:p1.00	A0[A33[C0,C0,C3,C0,C1,C1,C1,C0,C0,C0,C0]]
P:e50d258f:d0.453:c24:x0:p1.00	A0[A6[],A6[],A12[C4,C6,C0]]
P:e6721834:d0.470:c209:x0:p1.00	A0[A21[C8]]
P:e73095fd:d0.006:c42:x38:p0.53	A0[A1[C4]]
P:e98196ab:d0.212:c35:x0:p1.00	A0[A21[C7]]
P:eb5a1d5d:d0.253:c21:x0:p1.00	A0[A12[C7,C7,C2]]
P:f5b8619d:d0.500:c98:x0:p1.00	A0[A45[],A6[],A12[C0,C6,C0]]
P:f76d97a5:d0.254:c15:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:f8b3ba0a:d0.167:c2:x0:p1.00	A0[A6[],A6[],A12[C1,C3,C0]]
P:f8c80d96:d0.287:c86:x0:p1.00	A0[A22[C0]]
P:f8ff0b80:d0.333:c3:x0:p1.00	A0[A6[],A6[],A12[C1,C3,C0]]
P:fcb5c309:d0.500:c70:x0:p1.00	A0[A7[]]
P:ff28f65a:d0.639:c46:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
P:017c7c7b:d0.444:c36:x0:p1.00	A0[A6[],A6[],A12[C3,C9,C2]]
P:06df4c85:d0.032:c46:x0:p1.00	A0[A16[]]
P:09629e4f:d0.033:c20:x4:p0.83	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:0b148d64:d0.461:c100:x0:p1.00	A0[A7[]]
P:10fcaaa3:d0.549:c112:x0:p1.00	A0[A45[],A6[],A12[C0,C6,C0]]
P:137eaa0f:d0.222:c6:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C0]]
P:1e0a9b12:d0.026:c2:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:2204b7a8:d0.010:c3:x0:p1.00	A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]
P:228f6490:d0.030:c9:x0:p1.00	A0[A1[C8]]
P:234bbc79:d0.273:c27:x0:p1.00	A0[A6[],A6[],A12[C9,C3,C2]]
P:239be575:d0.500:c3:x0:p1.00	A0[A6[],A6[],A12[C1,C1,C0]]
P:23b5c85d:d0.054:c2:x0:p1.00	A0[A6[],A6[],A12[C4,C3,C0]]
P:25d8a9c8:d0.417:c15:x0:p1.00	A0[A33[C0,C0,C3,C0,C5,C5,C5,C0,C0,C0,C0]]
P:272f95fa:d0.071:c36:x0:p1.00	A0[A1[C6]]
P:2bee17df:d0.088:c122:x88:p0.58	A0[A1[C3]]
P:2dc579da:d0.658:c25:x0:p1.00	A0[A6[],A6[],A12[C5,C5,C0]]
P:2dee498d:d0.552:c16:x0:p1.00	A0[A6[],A6[],A12[C4,C4,C0]]
P:31aa019c:d0.017:c6:x1:p0.86	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:321b1fc6:d0.060:c12:x0:p1.00	A0[A33[C0,C0,C3,C0,C6,C6,C6,C0,C0,C0,C0]]
P:39a8645d:d0.704:c19:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C0]]
P:3befdf3e:d0.053:c16:x0:p1.00	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:3de23699:d0.153:c11:x0:p1.00	A0[A21[C2]]
P:3f7978a0:d0.333:c30:x0:p1.00	A0[A6[],A6[],A12[C5,C6,C0]]
P:4093f84a:d0.009:c5:x0:p1.00	A0[A33[C0,C0,C5,C0,C8,C8,C8,C0,C0,C0,C0]]
P:4290ef0e:d0.137:c30:x0:p1.00	A0[A6[],A6[],A12[C7,C7,C2]]
P:444801d8:d0.017:c5:x0:p1.00	A0[A1[C2]]
P:445eab21:d0.083:c1:x0:p1.00	A0[A12[C2,C2,C2]]
P:447fd412:d0.008:c8:x4:p0.67	A0[A35[C1]]
P:4522001f:d0.630:c102:x0:p1.00	A0[A27[C0]]
P:46442a0e:d0.909:c80:x0:p1.00	A0[A6[]]
P:469497ad:d0.530:c384:x0:p1.00	A0[A4[C4]]
P:46f33fce:d0.830:c996:x0:p1.00	A0[A4[C2]]
P:47c1f68c:d0.305:c61:x0:p1.00	A0[A6[],A6[],A12[C10,C10,C2]]
P:48d8fb45:d0.778:c21:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C0]]
P:49d1d64f:d0.197:c12:x0:p1.00	A0[A9[],A4[C2]]
P:4be741c5:d0.100:c1:x0:p1.00	A0[A6[],A6[],A12[C1,C3,C0]]
P:5117e062:d0.444:c12:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C4]]
P:5168d44c:d0.013:c8:x5:p0.62	A0[A3[]]
P:539a4f51:d0.373:c112:x0:p1.00	A0[A6[],A6[],A12[C10,C10,C0]]
P:53b68214:d0.950:c285:x0:p1.00	A0[A6[],A6[],A12[C10,C10,C2]]
P:5521c0d9:d0.015:c80:x70:p0.53	A0[A43[]]
P:5ad4f10b:d0.593:c16:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C6]]
P:5bd6f4ac:d0.472:c17:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
P:5daaa586:d0.181:c54:x0:p1.00	A0[A6[],A6[],A12[C8,C8,C2]]
P:662c240a:d0.250:c9:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C0]]
P:673ef223:d0.011:c6:x0:p1.00	A0[A33[C0,C0,C4,C0,C2,C2,C2,C0,C0,C0,C0]]
P:6773b310:d0.694:c25:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
P:681b3aeb:d0.593:c16:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C0]]
P:6b9890af:d0.667:c140:x0:p1.00	A0[A7[]]
P:6c434453:d0.020:c4:x0:p1.00	A0[A1[C2]]
P:6d0160f0:d0.045:c22:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:6e02f1e3:d0.156:c7:x0:p1.00	A0[A33[C0,C0,C3,C0,C5,C5,C5,C0,C0,C0,C0]]
P:6ecd11f4:d0.206:c7:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
P:72ca375d:d0.800:c16:x0:p1.00	A0[A6[],A6[],A12[C4,C2,C0]]
P:73251a56:d0.051:c67:x0:p1.00	A0[A18[]]
P:746b3537:d0.353:c6:x0:p1.00	A0[A6[],A6[],A12[C1,C3,C0]]
P:75b8110e:d0.250:c20:x0:p1.00	A0[A45[],A6[],A12[C4,C4,C0]]
P:77fdfe62:d0.389:c14:x0:p1.00	A0[A21[C8]]
P:780d0b14:d0.125:c2:x0:p1.00	A0[A6[],A6[],A12[C2,C2,C0]]
P:7837ac64:d0.500:c18:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
P:794b24be:d0.133:c15:x3:p0.83	A0[A6[],A6[],A12[C3,C3,C1]]
P:7b7f7511:d0.516:c16:x0:p1.00	A0[A6[],A6[],A12[C4,C4,C0]]
P:7c008303:d0.315:c34:x0:p1.00	A0[A21[C3]]
P:7fe24cdd:d0.778:c84:x0:p1.00	A0[A6[],A6[],A12[C6,C6,C0]]
P:80af3007:d0.778:c189:x0:p1.00	A0[A6[],A6[],A12[C9,C9,C0]]
P:83302e8f:d0.037:c66:x0:p1.00	A0[A1[C4]]
P:834ec97d:d0.026:c3:x0:p1.00	A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]
P:846bdb03:d0.563:c89:x0:p1.00	A0[A21[C4]]
P:85c4e7cd:d0.116:c40:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C2,C3,C8,C9]]
P:868de0fa:d0.101:c96:x0:p1.00	A0[A1[C2]]
P:8731374e:d0.106:c19:x0:p1.00	A0[A6[],A6[],A12[C8,C6,C0]]
P:88a62173:d0.917:c11:x0:p1.00	A0[A7[]]
P:8a004b2b:d0.655:c194:x0:p1.00	A0[A21[C4]]
P:8d5021e8:d0.630:c68:x0:p1.00	A0[A27[C0]]
P:8e1813be:d0.164:c10:x0:p1.00	A0[A21[C5]]
P:8e5a5113:d0.212:c21:x0:p1.00	A0[A22[C0]]
P:8efcae92:d0.413:c81:x0:p1.00	A0[A7[]]
P:90c28cc7:d0.211:c4:x0:p1.00	A0[A12[C2,C2,C2]]
P:91413438:d0.283:c219:x0:p1.00	A0[A4[C6]]
P:941d9a10:d0.027:c22:x14:p0.61	A0[A1[C2]]
P:94f9d214:d0.422:c27:x0:p1.00	A0[A12[C4,C4,C2]]
P:952a094c:d0.007:c2:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:97a05b5b:d0.758:c226:x0:p1.00	A0[A7[]]
P:9aec4887:d0.536:c52:x0:p1.00	A0[A6[],A6[],A12[C6,C6,C0]]
P:9af7a82c:d0.091:c7:x0:p1.00	A0[A6[],A6[],A12[C4,C5,C0]]
P:9d9215db:d0.036:c39:x0:p1.00	A0[A21[C5]]
P:9edfc990:d0.197:c164:x36:p0.82	A0[A35[C1]]
P:a3325580:d0.054:c3:x0:p1.00	A0[A6[],A6[],A12[C1,C3,C0]]
P:a61ba2ce:d0.344:c11:x0:p1.00	A0[A12[C4,C4,C2]]
P:a68b268e:d0.271:c26:x0:p1.00	A0[A6[],A6[],A12[C4,C4,C0]]
P:a85d4709:d0.194:c7:x0:p1.00	A0[A33[C0,C0,C4,C0,C3,C3,C3,C0,C0,C0,C0]]
P:a8c38be5:d0.228:c37:x0:p1.00	A0[A6[],A6[],A12[C9,C9,C0]]
P:ac0a08a4:d0.237:c81:x0:p1.00	A0[A4[C3]]
P:ae3edfdc:d0.015:c10:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:ae4f1146:d0.528:c19:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C0]]
P:b0c4d837:d0.704:c38:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
P:b190f7f5:d0.167:c70:x0:p1.00	A0[A6[],A6[],A12[C9,C9,C2]]
P:b548a754:d0.101:c40:x0:p1.00	A0[A18[]]
P:b91ae062:d0.429:c162:x0:p1.00	A0[A4[C3]]
P:b94a9452:d0.080:c4:x0:p1.00	A0[A12[C4,C4,C2]]
P:b9b7f026:d0.333:c1:x0:p1.00	A0[A6[],A6[],A12[C1,C1,C0]]
P:bbc9ae5d:d0.331:c45:x0:p1.00	A0[A6[],A6[],A12[C6,C3,C2]]
P:bc1d5164:d0.622:c28:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C2]]
P:bd4472b8:d0.118:c9:x0:p1.00	A0[A22[C0]]
P:bda2d7a6:d0.235:c32:x0:p1.00	A0[A22[C0]]
P:beb8660c:d0.028:c3:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:c3e719e8:d0.481:c117:x0:p1.00	A0[A9[],A27[C0]]
P:c8cbb738:d0.458:c27:x0:p1.00	A0[A6[],A6[],A12[C5,C5,C0]]
P:c9f8e694:d0.035:c16:x6:p0.73	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:caa06a1f:d0.335:c74:x0:p1.00	A0[A9[],A44[]]
P:cce03e0d:d0.802:c195:x0:p1.00	A0[A9[],A27[C0]]
P:cdecee7f:d0.222:c6:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C2]]
P:ce602527:d0.200:c14:x0:p1.00	A0[A21[C3]]
P:cf98881b:d0.375:c30:x0:p1.00	A0[A45[],A6[],A12[C4,C4,C0]]
P:d0f5fe59:d0.345:c10:x0:p1.00	A0[A45[],A6[],A12[C4,C4,C0]]
P:d13f3404:d0.500:c54:x0:p1.00	A0[A6[],A6[],A12[C6,C6,C0]]
P:d23f8c26:d0.085:c5:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:d2abd087:d0.143:c43:x0:p1.00	A0[A14[C0,C5,C6,C4,C3,C1,C2,C7,C9,C8]]
P:d4469b4b:d0.365:c23:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
P:d631b094:d0.400:c4:x0:p1.00	A0[A6[],A6[],A12[C4,C1,C0]]
P:d89b689b:d0.007:c2:x0:p1.00	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:ddf7fa4f:d0.077:c26:x3:p0.90	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:e179c5f4:d0.300:c27:x0:p1.00	A0[A22[C0]]
P:e26a3af2:d0.033:c20:x0:p1.00	A0[A33[C0,C0,C1,C0,C7,C7,C7,C0,C0,C0,C0]]
P:e48d4e1a:d0.092:c93:x56:p0.62	A0[A41[]]
P:e509e548:d0.030:c20:x0:p1.00	A0[A33[C0,C0,C3,C0,C1,C1,C1,C0,C0,C0,C0]]
P:e50d258f:d0.453:c24:x0:p1.00	A0[A6[],A6[],A12[C4,C6,C0]]
P:e6721834:d0.470:c209:x0:p1.00	A0[A21[C8]]
P:e73095fd:d0.006:c42:x38:p0.53	A0[A1[C4]]
P:e98196ab:d0.212:c35:x0:p1.00	A0[A21[C7]]
P:eb5a1d5d:d0.253:c21:x0:p1.00	A0[A12[C7,C7,C2]]
P:f5b8619d:d0.500:c98:x0:p1.00	A0[A45[],A6[],A12[C0,C6,C0]]
P:f76d97a5:d0.254:c15:x0:p1.00	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:f8b3ba0a:d0.167:c2:x0:p1.00	A0[A6[],A6[],A12[C1,C3,C0]]
P:f8c80d96:d0.287:c86:x0:p1.00	A0[A22[C0]]
P:f8ff0b80:d0.333:c3:x0:p1.00	A0[A6[],A6[],A12[C1,C3,C0]]
P:fcb5c309:d0.500:c70:x0:p1.00	A0[A7[]]
P:ff28f65a:d0.639:c46:x0:p1.00	A0[A6[],A6[],A12[C3,C3,C1]]
